CityState,Year,MedianSoldPricePerSqft_AllHomes,MedianSoldPricePerSqft_SingleFamilyResidence,MedianSoldPrice_AllHomes,ZHVIPerSqft_AllHomes,ZHVI_AllHomes,ZHVI_SingleFamilyResidence
"Anchorage, AK",2007,,,,201.33333333333334,300758.3333333333,325150.0
"Anchorage, AK",2008,,,,199.5,296191.6666666667,319466.6666666667
"Anchorage, AK",2009,,,,185.41666666666666,272291.6666666667,294341.6666666667
"Anchorage, AK",2010,,,,175.33333333333334,259766.66666666666,282025.0
"Anchorage, AK",2011,,,,173.5,260233.33333333334,282508.3333333333
"Anchorage, AK",2012,,,,173.41666666666666,261325.0,282675.0
"Anchorage, AK",2013,,,,177.5,270575.0,293366.6666666667
"Anchorage, AK",2014,,,,183.5,279341.6666666667,303741.6666666667
"Anchorage, AK",2015,,,,188.16666666666666,289333.3333333333,312500.0
"Anchorage, AK",2016,,,,190.75,292975.0,315416.6666666667
"Anchorage, AK",2017,,,,191.0,293825.0,316162.5
"Atlanta, GA",2007,168.93150833333334,155.886225,213684.58333333334,157.33333333333334,194191.66666666666,179825.0
"Atlanta, GA",2008,154.56525,133.74663333333334,197900.83333333334,146.91666666666666,179708.33333333334,163200.0
"Atlanta, GA",2009,145.40115,124.55480833333333,178612.5,132.91666666666666,159566.66666666666,140708.33333333334
"Atlanta, GA",2010,146.2989666666667,125.74693333333333,189995.28333333333,121.41666666666667,145500.0,124391.66666666667
"Atlanta, GA",2011,153.5479,166.22648333333333,221904.16666666666,104.66666666666667,126366.66666666667,108141.66666666667
"Atlanta, GA",2012,150.16093333333336,162.25723333333335,211296.66666666666,97.08333333333333,116083.33333333333,95025.0
"Atlanta, GA",2013,167.45009166666668,176.38573333333338,226000.0,109.0,132033.33333333334,103608.33333333333
"Atlanta, GA",2014,182.25160833333337,184.10688333333334,233526.25,123.33333333333333,150266.66666666666,115733.33333333333
"Atlanta, GA",2015,194.08307499999998,195.48085,244295.83333333334,142.16666666666666,170983.33333333334,131966.66666666666
"Atlanta, GA",2016,206.58438571428573,209.5944857142857,250208.33333333334,162.33333333333334,192616.66666666666,154408.33333333334
"Atlanta, GA",2017,,,,177.25,208225.0,170450.0
"Boston, MA",2007,355.3761,254.79829166666664,352529.9083333334,323.25,359775.0,365408.3333333333
"Boston, MA",2008,361.7414833333334,233.0165166666667,353960.4166666667,316.6666666666667,347216.6666666667,347491.6666666667
"Boston, MA",2009,338.55199999999996,227.18234999999996,340121.3541666667,304.0,331641.6666666667,326400.0
"Boston, MA",2010,360.33265,241.54359166666669,364092.9166666667,310.6666666666667,338850.0,339883.3333333333
"Boston, MA",2011,381.57125833333333,234.06536666666668,383385.8333333333,309.1666666666667,342283.3333333333,339508.3333333333
"Boston, MA",2012,382.1700416666667,246.91606666666667,393480.75,319.4166666666667,354966.6666666667,347841.6666666667
"Boston, MA",2013,427.71995833333335,270.5424083333333,419487.5,351.5833333333333,390666.6666666667,379550.0
"Boston, MA",2014,459.3405083333333,282.698075,443900.0,389.8333333333333,425300.0,412108.3333333333
"Boston, MA",2015,492.0361166666667,307.628125,519570.8333333333,428.0833333333333,461383.3333333333,445500.0
"Boston, MA",2016,545.7053800000001,310.17191999999994,537750.0,470.75,505833.3333333333,487725.0
"Boston, MA",2017,,,,512.0,549787.5,527637.5
"Charlotte, NC",2007,100.54341666666666,97.92849999999999,169437.5,94.41666666666667,159325.0,163441.66666666666
"Charlotte, NC",2008,105.26135000000001,100.63465833333333,176377.08333333334,93.83333333333333,158700.0,162325.0
"Charlotte, NC",2009,98.00121666666668,95.20601666666668,166931.25,88.08333333333333,148783.33333333334,152216.66666666666
"Charlotte, NC",2010,97.33977499999999,95.59164166666666,174758.33333333334,84.0,142300.0,147133.33333333334
"Charlotte, NC",2011,94.73574166666667,92.53336666666667,172687.5,78.0,134025.0,138641.66666666666
"Charlotte, NC",2012,96.62469166666666,94.441625,176812.5,78.41666666666667,133241.66666666666,138141.66666666666
"Charlotte, NC",2013,106.20401666666667,104.99913333333332,197852.08333333334,82.58333333333333,142875.0,147183.33333333334
"Charlotte, NC",2014,105.01324999999999,103.05882500000001,195250.83333333334,87.08333333333333,150441.66666666666,156433.33333333334
"Charlotte, NC",2015,108.38782499999998,106.54490833333331,196514.58333333334,91.41666666666667,159683.33333333334,165650.0
"Charlotte, NC",2016,109.91678333333334,106.66204999999998,195700.0,97.83333333333333,171891.66666666666,177808.33333333334
"Charlotte, NC",2017,,,,105.75,183762.5,190950.0
"Chicago, IL",2007,214.83030833333336,205.46325833333333,271554.1666666667,214.5,246683.33333333334,249633.33333333334
"Chicago, IL",2008,213.60495000000003,200.089375,283866.6666666667,198.41666666666666,235183.33333333334,228516.66666666666
"Chicago, IL",2009,195.07063333333338,180.0777416666667,254431.25,173.75,217291.66666666666,198266.66666666666
"Chicago, IL",2010,179.26576666666668,162.05315000000002,235545.83333333334,157.41666666666666,199275.0,178250.0
"Chicago, IL",2011,171.39835000000002,146.38539166666666,219491.66666666666,140.91666666666666,180058.33333333334,158616.66666666666
"Chicago, IL",2012,168.84749166666666,148.41818333333333,216993.75,132.58333333333334,168183.33333333334,149633.33333333334
"Chicago, IL",2013,186.75955000000002,163.50280833333332,247145.83333333334,139.08333333333334,178291.66666666666,157166.66666666666
"Chicago, IL",2014,200.61738333333332,176.28669166666666,266195.8333333333,148.5,189891.66666666666,167108.33333333334
"Chicago, IL",2015,201.05466666666666,182.5533833333333,268520.8333333333,156.58333333333334,199516.66666666666,173541.66666666666
"Chicago, IL",2016,210.30089999999998,193.53402857142856,271741.6666666667,164.75,207700.0,183183.33333333334
"Chicago, IL",2017,,,,173.125,221787.5,194812.5
"Denver, CO",2007,201.69879999999998,192.33760833333335,256539.375,189.75,226025.0,246275.0
"Denver, CO",2008,192.33564166666665,182.6924,251076.66666666666,181.08333333333334,220158.33333333334,237466.66666666666
"Denver, CO",2009,176.0374666666667,171.57746666666665,222994.16666666666,171.91666666666666,210125.0,228675.0
"Denver, CO",2010,199.052825,200.42922499999997,240505.83333333334,179.58333333333334,216083.33333333334,234633.33333333334
"Denver, CO",2011,198.16622500000003,203.53495833333332,253088.33333333334,174.33333333333334,213066.66666666666,233183.33333333334
"Denver, CO",2012,205.64374999999998,209.79113333333336,264113.4583333333,181.58333333333334,222683.33333333334,242525.0
"Denver, CO",2013,222.523,228.38199166666666,278952.9166666667,199.58333333333334,245441.66666666666,268133.3333333333
"Denver, CO",2014,236.02994166666667,240.9850333333333,283620.8333333333,221.16666666666666,271091.6666666667,296675.0
"Denver, CO",2015,265.6974083333333,273.12629166666665,316758.3333333333,258.6666666666667,317208.3333333333,344541.6666666667
"Denver, CO",2016,292.48028571428574,300.9314,339072.5,293.4166666666667,352991.6666666667,387391.6666666667
"Denver, CO",2017,,,,318.5,380375.0,417050.0
"Detroit, MI",2007,75.42629166666667,74.72842499999999,79993.33333333333,71.41666666666667,74500.0,74333.33333333333
"Detroit, MI",2008,67.33303636363638,66.44751818181818,74268.18181818182,63.666666666666664,67191.66666666667,67050.0
"Detroit, MI",2009,32.096849999999996,31.317375,36777.083333333336,52.416666666666664,56366.666666666664,56150.0
"Detroit, MI",2010,20.24446666666667,20.062883333333335,23005.0,37.416666666666664,40858.333333333336,40708.333333333336
"Detroit, MI",2011,17.340641666666667,17.04564166666667,19825.375,33.083333333333336,34266.666666666664,34233.333333333336
"Detroit, MI",2012,19.679991666666663,19.022675,25174.666666666668,32.5,34266.666666666664,34066.666666666664
"Detroit, MI",2013,21.131866666666667,20.287475,25287.5,32.166666666666664,34441.666666666664,34283.333333333336
"Detroit, MI",2014,24.995524999999997,23.766424999999998,30142.870833333334,32.916666666666664,35166.666666666664,35100.0
"Detroit, MI",2015,26.9041,25.341075000000004,34112.7125,33.25,33975.0,33733.333333333336
"Detroit, MI",2016,29.29802,27.751320000000003,34730.0,35.083333333333336,35383.333333333336,35150.0
"Detroit, MI",2017,,,,40.125,41525.0,41325.0
"Honolulu, HI",2007,493.9455666666667,454.70445,389736.0833333333,493.4166666666667,550108.3333333334,808400.0
"Honolulu, HI",2008,458.6031083333334,447.2028583333334,372144.7772727273,483.0,538808.3333333334,802641.6666666666
"Honolulu, HI",2009,452.4736583333334,446.71880000000004,396599.1583333334,449.8333333333333,502441.6666666667,751008.3333333334
"Honolulu, HI",2010,470.11568333333327,488.0003000000001,421648.5833333333,461.6666666666667,505416.6666666667,770066.6666666666
"Honolulu, HI",2011,479.61701666666676,505.8336916666667,420467.7083333333,458.0833333333333,508641.6666666667,766183.3333333334
"Honolulu, HI",2012,476.5978416666667,506.2507499999999,408295.8333333333,465.0,512525.0,777016.6666666666
"Honolulu, HI",2013,499.299,476.99713333333335,426640.0,497.6666666666667,551450.0,829266.6666666666
"Honolulu, HI",2014,534.6025583333334,509.74278333333336,455958.3333333333,531.9166666666666,582975.0,884058.3333333334
"Honolulu, HI",2015,552.9786333333333,559.704975,462531.25,557.5,619800.0,931541.6666666666
"Honolulu, HI",2016,570.6065142857143,571.7745285714285,489070.8333333333,579.8333333333334,640141.6666666666,976725.0
"Honolulu, HI",2017,,,,602.0,670025.0,1022850.0
"Indianapolis, IN",2007,,,,80.91666666666667,,
"Indianapolis, IN",2008,,,,78.33333333333333,,
"Indianapolis, IN",2009,,,,69.0,,
"Indianapolis, IN",2010,,,,70.33333333333333,,
"Indianapolis, IN",2011,,,,66.5,,
"Indianapolis, IN",2012,,,,65.16666666666667,,
"Indianapolis, IN",2013,,,,67.16666666666667,,
"Indianapolis, IN",2014,,,,69.58333333333333,,
"Indianapolis, IN",2015,,,,72.41666666666667,,
"Indianapolis, IN",2016,,,,70.58333333333333,,
"Indianapolis, IN",2017,,,,73.25,,
"Los Angeles, CA",2007,426.56901666666676,426.0608333333333,583587.75,409.6666666666667,579966.6666666666,609683.3333333334
"Los Angeles, CA",2008,364.1916083333333,354.13055833333334,525482.3041666667,343.5,487733.3333333333,511208.3333333333
"Los Angeles, CA",2009,298.0844583333333,285.296625,434136.95,278.9166666666667,412808.3333333333,431183.3333333333
"Los Angeles, CA",2010,281.4483833333333,272.3523666666667,407480.8666666667,279.0,415516.6666666667,437391.6666666667
"Los Angeles, CA",2011,262.4565833333334,259.89107500000006,383473.67500000005,263.1666666666667,391950.0,415216.6666666667
"Los Angeles, CA",2012,271.9042416666667,272.9634083333333,409909.8541666667,262.8333333333333,388050.0,412541.6666666667
"Los Angeles, CA",2013,326.64096666666666,324.97062500000004,483443.75,307.8333333333333,450033.3333333333,477083.3333333333
"Los Angeles, CA",2014,363.1585,366.2053833333334,536237.5,342.5833333333333,503325.0,533675.0
"Los Angeles, CA",2015,382.86740000000003,385.0283083333332,565691.6666666666,365.8333333333333,541033.3333333334,572350.0
"Los Angeles, CA",2016,406.3040285714286,409.11157142857144,601091.6666666666,398.3333333333333,585858.3333333334,619208.3333333334
"Los Angeles, CA",2017,,,,424.125,625287.5,660787.5
"Minneapolis, MN",2007,208.3419666666667,189.69414166666664,230186.75,193.16666666666666,213058.33333333334,215933.33333333334
"Minneapolis, MN",2008,191.59465,177.81162499999996,220637.5,180.33333333333334,199483.33333333334,202225.0
"Minneapolis, MN",2009,168.20906666666664,157.92354166666664,197355.9833333333,168.66666666666666,184050.0,189866.66666666666
"Minneapolis, MN",2010,166.61687500000002,157.42218333333335,186758.33333333334,161.75,178350.0,183025.0
"Minneapolis, MN",2011,150.87809166666668,140.291375,169675.25,148.58333333333334,164316.66666666666,168108.33333333334
"Minneapolis, MN",2012,147.34050833333333,141.1404,166313.33333333334,147.0,163083.33333333334,166308.33333333334
"Minneapolis, MN",2013,167.50905833333331,161.764475,188083.33333333334,162.5,179325.0,185150.0
"Minneapolis, MN",2014,183.2864833333333,177.63817499999996,202134.275,173.75,192208.33333333334,197983.33333333334
"Minneapolis, MN",2015,194.77605833333334,190.15530833333332,218763.58333333334,183.16666666666666,204650.0,209516.66666666666
"Minneapolis, MN",2016,202.07674285714285,197.2008,228130.83333333334,196.66666666666666,220825.0,225475.0
"Minneapolis, MN",2017,,,,210.125,235325.0,240125.0
"New York, NY",2007,433.64855000000006,329.48194166666667,515229.6666666667,381.3333333333333,513875.0,522225.0
"New York, NY",2008,518.2486833333334,312.58140000000003,555101.9166666666,370.5,500033.3333333333,495350.0
"New York, NY",2009,394.4269333333334,295.88821666666666,501678.9166666667,351.8333333333333,464575.0,455691.6666666667
"New York, NY",2010,403.2959,291.86145833333336,494134.99583333335,358.5,481950.0,453375.0
"New York, NY",2011,430.8060916666666,299.8110583333334,497981.75,342.5,468708.3333333333,436175.0
"New York, NY",2012,416.6576583333333,300.3809333333333,473469.1666666667,339.8333333333333,464525.0,428741.6666666667
"New York, NY",2013,432.40658333333334,298.51640833333335,513729.5833333333,351.0,482200.0,437216.6666666667
"New York, NY",2014,443.5172166666666,311.7155083333333,496642.9166666667,373.25,516775.0,456766.6666666667
"New York, NY",2015,429.37829166666666,324.5536333333334,509122.9166666667,392.0,541200.0,469525.0
"New York, NY",2016,477.02111428571425,360.1915857142857,535262.5,430.6666666666667,596091.6666666666,513933.3333333333
"New York, NY",2017,,,,470.375,664512.5,558975.0
"Philadelphia, PA",2007,114.82529999999998,134.03715,142291.66666666666,93.41666666666667,119416.66666666667,199133.33333333334
"Philadelphia, PA",2008,115.35303333333333,136.61351666666664,145354.16666666666,92.08333333333333,117625.0,195283.33333333334
"Philadelphia, PA",2009,110.992925,130.00798333333333,139572.91666666666,91.16666666666667,116916.66666666667,187850.0
"Philadelphia, PA",2010,107.83641666666665,127.09617500000002,134958.26249999998,93.91666666666667,120866.66666666667,184250.0
"Philadelphia, PA",2011,99.68916666666667,118.52815,125436.25,89.0,115325.0,175850.0
"Philadelphia, PA",2012,98.64404166666667,115.38194166666666,126484.70833333333,86.0,111825.0,170383.33333333334
"Philadelphia, PA",2013,113.56054999999999,120.48394166666667,148312.5,87.75,112933.33333333333,173508.33333333334
"Philadelphia, PA",2014,111.82485000000001,120.25918333333333,145945.41666666666,88.41666666666667,115166.66666666667,175966.66666666666
"Philadelphia, PA",2015,114.87319166666667,122.77855,150012.5,90.83333333333333,119350.0,176450.0
"Philadelphia, PA",2016,119.90136666666666,125.64651666666668,151430.0,97.5,128266.66666666667,185091.66666666666
"Philadelphia, PA",2017,,,,104.5,137287.5,197475.0
"Salt Lake City, UT",2007,,,,216.25,247741.66666666666,266258.3333333333
"Salt Lake City, UT",2008,,,,221.66666666666666,253233.33333333334,265833.3333333333
"Salt Lake City, UT",2009,,,,220.5,258766.66666666666,268908.3333333333
"Salt Lake City, UT",2010,,,,182.58333333333334,210991.66666666666,223350.0
"Salt Lake City, UT",2011,,,,168.25,193758.33333333334,204666.66666666666
"Salt Lake City, UT",2012,,,,165.91666666666666,189533.33333333334,201216.66666666666
"Salt Lake City, UT",2013,,,,175.25,203166.66666666666,211950.0
"Salt Lake City, UT",2014,,,,189.08333333333334,220975.0,233083.33333333334
"Salt Lake City, UT",2015,,,,200.75,234783.33333333334,249616.66666666666
"Salt Lake City, UT",2016,,,,216.5,259916.66666666666,276500.0
"Salt Lake City, UT",2017,,,,232.625,281262.5,298587.5
"San Francisco, CA",2007,671.3373166666667,595.5357833333334,799062.5,639.75,810958.3333333334,823908.3333333334
"San Francisco, CA",2008,647.1366083333334,573.3543166666667,761270.8333333334,607.0833333333334,771183.3333333334,776333.3333333334
"San Francisco, CA",2009,581.9949,525.7943666666666,695227.0833333334,542.5833333333334,694775.0,703158.3333333334
"San Francisco, CA",2010,571.6291166666666,528.5504416666666,703872.9166666666,550.6666666666666,706441.6666666666,721350.0
"San Francisco, CA",2011,546.4321833333335,492.3258166666667,668733.3333333334,527.5,674716.6666666666,682000.0
"San Francisco, CA",2012,603.4216833333334,518.2946583333332,722737.5,552.75,697250.0,696525.0
"San Francisco, CA",2013,720.2264833333334,605.9712166666666,828747.9166666666,655.0833333333334,813983.3333333334,814466.6666666666
"San Francisco, CA",2014,834.2835916666664,703.9400333333333,952991.6666666666,753.4166666666666,937291.6666666666,938250.0
"San Francisco, CA",2015,949.8845166666666,825.3977083333333,1105722.9166666667,864.75,1074500.0,1075375.0
"San Francisco, CA",2016,950.2915142857142,870.5151999999999,1168020.8333333333,900.0833333333334,1131333.3333333333,1142441.6666666667
"San Francisco, CA",2017,,,,936.5,1197125.0,1234575.0
"Seattle, WA",2007,339.06501666666674,302.1253166666666,412129.1666666667,337.4166666666667,462000.0,503941.6666666667
"Seattle, WA",2008,316.6416,285.9856833333333,406083.0,322.6666666666667,440466.6666666667,480850.0
"Seattle, WA",2009,285.67452499999996,260.540275,376179.25,288.5833333333333,393666.6666666667,430525.0
"Seattle, WA",2010,288.7597333333334,272.5728166666667,385012.5,273.5,376641.6666666667,410525.0
"Seattle, WA",2011,270.0158333333333,261.4946333333333,373137.5,257.8333333333333,357041.6666666667,393225.0
"Seattle, WA",2012,266.292525,259.6807,363786.25,265.75,370000.0,409783.3333333333
"Seattle, WA",2013,295.08087499999993,277.675275,401024.1666666667,295.4166666666667,413333.3333333333,452191.6666666667
"Seattle, WA",2014,318.23431666666664,296.4979833333333,422788.5416666667,321.75,447100.0,494975.0
"Seattle, WA",2015,359.18445833333334,337.68074166666673,467880.4166666667,362.5833333333333,507266.6666666667,561016.6666666666
"Seattle, WA",2016,417.98640000000006,398.45924285714284,531883.3333333334,417.0,591983.3333333334,648458.3333333334
"Seattle, WA",2017,,,,462.625,660737.5,727162.5
"Washington, DC",2007,397.18401666666665,308.33660833333334,380516.6666666667,362.5,396241.6666666667,429983.3333333333
"Washington, DC",2008,402.39886666666666,301.2054416666667,374954.0833333333,344.5,372958.3333333333,394125.0
"Washington, DC",2009,403.229425,322.9604583333333,397268.7083333333,326.1666666666667,348833.3333333333,361900.0
"Washington, DC",2010,414.4551166666667,328.61195,411130.75416666665,344.1666666666667,363716.6666666667,369300.0
"Washington, DC",2011,412.37815,321.68811666666664,427306.1666666667,340.8333333333333,359741.6666666667,361433.3333333333
"Washington, DC",2012,418.74127500000003,326.86780000000005,429725.9583333333,352.0,373583.3333333333,373841.6666666667
"Washington, DC",2013,456.6110666666666,356.7676333333333,469671.625,380.0833333333333,408775.0,421858.3333333333
"Washington, DC",2014,472.76960833333334,366.06188333333336,489040.4375,417.75,451291.6666666667,472050.0
"Washington, DC",2015,498.19684166666667,397.41006666666664,512759.1666666667,450.6666666666667,490941.6666666667,519566.6666666667
"Washington, DC",2016,507.4443714285714,400.15752857142854,522841.6666666667,475.25,517533.3333333333,558966.6666666666
"Washington, DC",2017,,,,496.75,548425.0,600375.0
